Date,Rainfall(mm),Tavg,Tmax,Tmin
1/01/1966,0,18,22.2,13.9
2/01/1966,26.2,20.5,23.9,17.1
3/01/1966,0,20.3,23.5,17.1
4/01/1966,0,20.3,24.4,16.2
5/01/1966,1.3,20.6,23.4,17.8
6/01/1966,8.9,21,23.4,18.6
7/01/1966,5.1,20,23.7,16.3
8/01/1966,1.3,19.7,22.1,17.3
9/01/1966,2.5,17.8,19.7,15.9
10/01/1966,0,16.2,18,14.4
11/01/1966,0.5,16.8,19.3,14.4
12/01/1966,0.5,18,20.5,15.6
13/01/1966,0,17,18.9,15.1
14/01/1966,0.5,16.8,18.7,14.9
15/01/1966,0,18.6,22.1,15.1
16/01/1966,0,18.8,24.6,12.9
17/01/1966,0,18.3,22.6,14
18/01/1966,0,19.3,25.9,12.7
19/01/1966,0,21.4,25.8,17
20/01/1966,5.3,21.1,23.3,18.9
21/01/1966,5.1,20.8,21.9,19.6
22/01/1966,33,21.1,22.8,19.4
23/01/1966,12.2,20.4,23.4,17.4
24/01/1966,0.8,19.4,21.6,17.1
25/01/1966,0,17.8,20,15.6
26/01/1966,0,17.5,20.5,14.5
27/01/1966,0,19.6,23.6,15.6
28/01/1966,0,18.2,22.2,14.2
29/01/1966,0,20.4,25.2,15.6
30/01/1966,4.6,19.9,23.1,16.7
31/01/1966,6.6,20.2,23.8,16.7
1/02/1966,30.5,22.2,26.1,18.3
2/02/1966,0,19,20.9,17.1
3/02/1966,0,18.4,23,13.9
4/02/1966,0,19.9,23.1,16.7
5/02/1966,0,19.2,24.1,14.4
6/02/1966,0,20,26.4,13.7
7/02/1966,0,20.6,25.3,15.9
8/02/1966,0,20,25.3,14.7
9/02/1966,0,20.3,23.8,16.8
10/02/1966,0,20.2,24.1,16.2
11/02/1966,1.8,21,25.4,16.6
12/02/1966,0,21.1,23.9,18.3
13/02/1966,1,21.6,25.3,18
14/02/1966,0,21.7,27.6,15.8
15/02/1966,0.3,21.2,25.4,17.1
16/02/1966,57.9,21.2,24.6,17.8
17/02/1966,32.3,20.6,22.2,18.9
18/02/1966,0,21.9,25.8,18
